Image;SquareIndex;ObjectInSquare;Area_px;Area_mm2;Scale;X;Y
P1012149.JPG;3;1;2937;15.6934;0.0731;536.0853;568.3172
P1012149.JPG;2;1;2003;10.7027;0.0731;761.5994;718.1485
P1012149.JPG;1;1;7692;41.101;0.0731;590.2556;602.9515
P1012149.JPG;6;1;1712;9.1478;0.0731;614.6484;847.2208
P1012149.JPG;5;1;3855;20.5986;0.0731;415.715;737.5926
P1012149.JPG;4;1;5709;30.5051;0.0731;666.3047;542.881
P1012150.JPG;3;1;7445;39.7812;0.0731;690.622;687.3322
P1012150.JPG;2;1;3532;18.8727;0.0731;487.3112;625.5982
P1012150.JPG;1;1;5934;31.7074;0.0731;581.9387;707.2295
P1012150.JPG;5;1;6711;35.8592;0.0731;471.7232;752.421
P1012150.JPG;4;1;5727;30.6013;0.0731;544.5454;577.0249
P1012151.JPG;2;1;2561;13.6843;0.0731;570.712;834.4664
P1012151.JPG;1;1;2305;12.3164;0.0731;613.3746;678.5286
P1012151.JPG;6;1;2608;13.9354;0.0731;903.7205;795.6277
P1012151.JPG;5;1;4277;22.8535;0.0731;811.9681;507.2332
P1012151.JPG;4;1;2654;14.1812;0.0731;627.0893;420.075
P1012152.JPG;3;1;6720;35.9073;0.0731;508.0189;683.3515
P1012152.JPG;2;1;5844;31.2265;0.0731;626.5352;613.3741
P1012152.JPG;1;1;5968;31.8891;0.0731;828.3964;643.155
P1012152.JPG;6;1;6974;37.2645;0.0731;770.156;582.5024
P1012152.JPG;5;1;5342;28.5441;0.0731;648.4377;813.5693
P1012152.JPG;4;1;7571;40.4544;0.0731;728.2781;791.3708
P1012153.JPG;3;1;3545;18.9421;0.0731;432.0447;793.3889
P1012153.JPG;2;1;6265;33.476;0.0731;806.2362;647.7546
P1012153.JPG;1;1;9017;48.1809;0.0731;634.0688;603.1501
P1012153.JPG;5;1;6029;32.215;0.0731;446.4871;743.3824
P1012153.JPG;4;1;4134;22.0894;0.0731;707.4427;664.3106
P1012154.JPG;3;1;6546;34.9775;0.0731;429.9141;708.028
P1012154.JPG;2;1;5471;29.2334;0.0731;581.725;817.5861
P1012154.JPG;1;1;8304;44.3711;0.0731;642.7341;759.6696
P1012154.JPG;6;1;3253;17.3819;0.0731;648.8707;821.9713
P1012154.JPG;5;1;3073;16.4201;0.0731;591.5752;1074.0002
P1012154.JPG;4;1;4373;23.3664;0.0731;802.7099;610.2075
P1012157.JPG;1;1;5158;27.7338;0.07333;789.3389;574.6642
P1012157.JPG;2;1;6242;33.5624;0.07333;507.2906;999.8661
P1012157.JPG;3;1;5740;30.8632;0.07333;572.5408;931.0483
P1012157.JPG;5;1;7496;40.3049;0.07333;1041.3116;534.6897
P1012157.JPG;4;1;6092;32.7558;0.07333;531.7365;904.218
P1012158.JPG;1;1;1790;9.6246;0.07333;859.6587;879.0804
P1012158.JPG;2;1;2210;11.8829;0.07333;623.9281;779.857
P1012158.JPG;3;1;2826;15.195;0.07333;644.0064;810.2311
P1012158.JPG;6;1;4230;22.7441;0.07333;563.6437;695.1941
P1012158.JPG;5;1;3661;19.6847;0.07333;679.438;533.3175
P1012158.JPG;4;1;3131;16.8349;0.07333;576.4633;765.8152
P1012159.JPG;1;1;7158;38.4876;0.07333;652.7316;863.7638
P1012159.JPG;2;1;6493;34.9119;0.07333;644.316;853.2448
P1012159.JPG;3;1;5632;30.2825;0.07333;665.1067;1051.305
P1012159.JPG;6;1;6682;35.9282;0.07333;346.8378;502.6613
P1012159.JPG;5;1;2550;13.711;0.07333;455.2635;669.9529
P1012159.JPG;4;1;6007;32.2988;0.07333;527.7542;614.0339
P1012160.JPG;1;1;6229;33.4925;0.07333;582.6402;657.1765
P1012160.JPG;2;1;2265;12.1786;0.07333;636.9225;833.1945
P1012160.JPG;3;1;2521;13.5551;0.07333;666.4619;561.7574
P1012160.JPG;6;1;2739;14.7272;0.07333;324.0005;520.17
P1012160.JPG;5;1;1893;10.1784;0.07333;700.1741;726.0959
P1012160.JPG;4;1;3520;18.9265;0.07333;333.3886;718.1747
P1012161.JPG;1;1;3718;19.9912;0.07333;820.9459;822.7079
P1012161.JPG;2;1;4740;25.4863;0.07333;530.9095;666.9382
